gov_id|english_name|chinese_name,address|district|latitude|longitude|email|telephone|fax|placement_type|valid_license_since
35|Extensive Employment Services Centre|宏寶僱傭服務中心|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3711144|lng: 114.0998887|extemployment@gmail.com|24929263|24929633|Foreign Domestic Helpers, Local Domestic Helpers|1991
46|Certain Link Personnel Consultants|確信人事僱傭中心|Room B, 17th floor, Unionway Commercial Centre, 283 Queen's Road Central, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2848559|lng: 114.1507399|brenda.yung7@gmail.com|28510230|25444773|Foreign Domestic Helpers, Local Domestic Helpers|1992
53|JN Employment Services||Flat A, 7th floor, Winner Building, 27-37 D'Aguilar Street, Central, Hong Kong|Central and Western District|lat: 22.2810534|lng: 114.1551871|jn@jnemployment.com|25301730|29730078|Foreign Domestic Helpers, Imported Worker, Office Staff / Executive Search, Other Non-office Worker|1993
82|Luckyflex International Limited|信富國際有限公司|Room 1603, 16th floor, Chow Sang Sang Building, 229 Nathan Road, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.3046440|lng: 114.1713625|luckyflexintl@gmail.com|27391230|23692727|Foreign Domestic Helpers, Office Staff / Executive Search|1994
85|HK-Philippines Employment Agency|中菲僱傭代理|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2844956|lng: 114.1554419|hkphil_employment@yahoo.com|28014083|25371522|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|1995
97|H L&C; Employment Agency Limited|康樂居僱傭中心有限公司|6th floor, Hong Kong Chinese Bank Causeway Bay Centre, 42-44 Yee Wo Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2795905|lng: 114.1857059|marketing@hlc.com.hk|28810004|28904000|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|1996
98|H L&C; Employment Agency Limited|康樂居僱傭中心有限公司|3rd floor, Heung Lam Building, 23 Connaught Road Central, Central, Hong Kong|Central and Western District|lat: 22.2832167|lng: 114.1573469|marketing@hlc.com.hk|28810004|28904000|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2002
110|China Guangdong (H.K.) Company for Foreign Labour Service|中國廣東對外勞務(香港)公司|Flat A, 3rd floor, Gala Garden, 45-47 Fort Street, North Point, Hong Kong|Eastern District|lat: 22.2901298|lng: 114.1978693|jackwu@gdnyhr.com|28278002|25988359|Foreign Domestic Helpers, Imported Worker, Office Staff / Executive Search, Other Non-office Worker|1999
121|GURKHA INTERNATIONAL (HONG KONG) LIMITED|GURKHA INTERNATIONAL(HONG KONG) LIMITED|Unit A & Unit B, 4th floor, Hilltop Plaza, 49 Hollywood Road, Central, Hong Kong|Central and Western District|lat: 22.2826807|lng: 114.1531739|gurkha@netvigator.com|25064251|25062790|Foreign Domestic Helpers, Other Non-office Worker|1997
151|Success Employment Services Limited|成功僱傭服務有限公司|Room A(01), 12th floor, Lucky Horse Industrial Building, 62-64 Tong Mi Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3217453|lng: 114.1658116|account@success-agency.com.hk|25445737|28154463|Foreign Domestic Helpers, Local Domestic Helpers|1997
155|Aura Employment Agency|奧娜僱傭公司|Flat B, 14th floor, Wayson Commercial House, 68-70 Lockhart Road, Wan Chai, Hong Kong|Wan Chai District|lat: 22.2779916|lng: 114.1710832|auragency@yahoo.com|25736462| |Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|1998
167|ASIA-ONE EMPLOYMENT AGENCY|尚亞僱傭服務中心|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738049|lng: 114.1163548|admin@asiaone.hk|26927777|23685555|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2003
187|Asia Selective Employment Agency|亞洲精簡代聘中心(菲傭)|Room 1101, 11th floor, Jupiter Tower, 9 Jupiter Street, North Point, Hong Kong|Eastern District|lat: 22.2862334|lng: 114.1923384|donna821128@yahoo.com.hk|23912132|23922698|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|1999
210|J & A Employment Agency|保兒僱傭公司|Room B1, 6th floor, Chung Hing Commercial Building, 62-63 Connaught Road Central, Central, Hong Kong|Central and Western District|lat: 22.2853530|lng: 114.1556168|ja@ja-agency.com.hk|28698329|28698002|Foreign Domestic Helpers, Local Domestic Helpers|2000
229|Technic Employment Service Centre Limited|得成僱傭中心有限公司|Unit A, 8th floor, Man Hing Commercial Building, 79-83 Queen's Road Central, Central, Hong Kong|Central and Western District|lat: 22.2834380|lng: 114.1553941|central@technic.com.hk|25226162|28400492|Foreign Domestic Helpers|2002
232|Josie James Integrated Personnel Consultancy|Josie James Integrated PersonnelConsultancy|Shop 255, 2nd floor, World-Wide Plaza, 19 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2825522|lng: 114.1577184|info@josiejamespersonnel.com|23772568|21997969|Foreign Domestic Helpers|2000
233|Sincerity Employment Services Company|佳譽僱傭服務公司|Room 02B, 5th floor, Causeway Bay Commercial Building, 3 Sugar Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2799736|lng: 114.1864561|cb-info@sincerity.hk|26250776|21510991|Foreign Domestic Helpers, Local Domestic Helpers|2000
243|Talent Source Limited|智發有限公司|6th floor, Hong Kong Chinese Bank Causeway Bay Centre, 42-44 Yee Wo Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2795905|lng: 114.1857059|marketing@hlc.com.hk|28810004|28904000|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2000
260|Good Hope Employment Services|真意僱傭中心|Room 803, 8th floor, Cheung Fung Commercial Building, 21-25 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon|Sham Shui Po District|lat: 22.3271217|lng: 114.1665548|goodhopehk@yahoo.com.hk|29288222|23910781|Foreign Domestic Helpers, Local Domestic Helpers|2001
276|Cheer Lots Employment Services Limited|施樂僱傭服務有限公司|Room 1411, 14th floor, Good Hope Building, 5 Sai Yeung Choi Street South, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3173060|lng: 114.1701335|mongkokec@yahoo.com.hk|31187551|31623402|Foreign Domestic Helpers, Local Domestic Helpers|2001
301|Bestwell Employment Agency (HK) Limited|佳威僱傭中心有限公司|Room 1001, 10th floor, Kwong Wah Plaza, 11 Tai Tong Road, Yuen Long, New Territories|Yuen Long District|lat: 22.4440185|lng: 114.0294675|alrightsun@biznetvigator.com|24733488|25681662|Foreign Domestic Helpers, Local Domestic Helpers|2012
330|Best Choice Employment Center Company Limited|稱心如意僱傭中心有限公司|Office 2, 7th floor, United Success Commercial Centre, 508 Jaffe Road, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2809381|lng: 114.1833990|fancychau@bestmaids.com.hk|23305339|23305366|Foreign Domestic Helpers, Local Domestic Helpers|2002
365|All Round Employment Agency|安選專業僱傭中心|Room 1101, 11th floor, Jupiter Tower, 9 Jupiter Street, North Point, Hong Kong|Eastern District|lat: 22.2862334|lng: 114.1923384|donna821128@yahoo.com.hk|23919276|23922698|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|2002
368|Home-Maid Employment Services|家居易僱傭服務中心|Room 5A, 3rd floor, Sun Cheong Industrial Building, 1 Cheung Shun Street, Lai Chi Kok, Kowloon|Sham Shui Po District|lat: 22.3368434|lng: 114.1494162|info@homeasy.com|27762900|213993693|Foreign Domestic Helpers, Local Domestic Helpers|2002
386|Jedegal Consultants Co.|駿景顧問公司|Shop 8, 1st floor, Cheong On Commercial Plaza, Tsuen Cheong Centre, 114-128 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3713630|lng: 114.1199120|info@jedegalcc.com|36221898|23952682|Foreign Domestic Helpers, Imported Worker|2019
414|Ko Li Family Employment Services Consultant|高利僱傭服務中心|Flat 9, 23rd floor, Prosper Commercial Building, 9 Yin Chong Street, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3166330|lng: 114.1721049|koliagency@yahoo.com.hk|56686691| |Foreign Domestic Helpers, Local Domestic Helpers|2003
442|Glory Semesta Manpower Limited|利得佳僱傭有限公司|Room 2008, 20th floor, Hing Yip Commercial Centre, 272-284 Des Voeux Road Central, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2865267|lng: 114.1514830|glorysemesta@biznetvigator.com|26886020|26886010|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2004
473|Abadi Employment Consultant Centre|威信(海外)僱傭中心|Room 1108, 1st floor, Inciti Kar Shing Building, 15-19 Kau Yuk Road, Yuen Long, New Territories|Yuen Long District|lat: 22.4427237|lng: 114.0272673|info@abadi.com.hk|31065716|31065717|Foreign Domestic Helpers, Local Domestic Helpers|2004
486|Maid Supply Employment Agency||Unit B3-C, Block B, 3rd floor, Hong Kong Industrial Centre, 489-491 Castle Peak Road, Lai Chi Kok, Kowloon|Sham Shui Po District|lat: 22.3374145|lng: 114.1467198|maidsupply123@yahoo.com.hk|23976007|23932096|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|2004
490|Yip Sing International Consultant Services Limited|業昇國際顧問服務有限公司|Shopstall D023, Lok Fu Bazaar, Lok Fu Plaza, 198 Junction Road, Wang Tau Hom, Kowloon|Wong Tai Sin District|lat: 22.3385753|lng: 114.1872659|yipsing88@yahoo.com|26812197|37479383|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2004
