govid|english_name|email

2624|Maid Best Limited|info@maidbest.com.hk
2157|FIORI MEGA STAR EMPLOYMENT AGENCY LIMITED|info@maidbest.com.hk
2292|FIRST CAPITAL RESOURCES GROUP LIMITED|info@maidbest.com.hk
2623|Maid Best Limited|info@maidbest.com.hk

3917|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk
3918|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk

3918|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk
3917|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk

7|Baguio Investment Company Limited|baguio.inv@gmail.com
61|B & A Co|baguio.inv@gmail.com

141|H L&C; Employment Agency Limited|marketing@hlc.com.hk
139|H L&C; Employment Agency Limited|marketing@hlc.com.hk
325|Talent Source Limited|marketing@hlc.com.hk

258|Asia Selective Employment Agency|donna821128@yahoo.com.hk
475|All Round Employment Agency|donna821128@yahoo.com.hk

475|All Round Employment Agency|donna821128@yahoo.com.hk
258|Asia Selective Employment Agency|donna821128@yahoo.com.hk

1896|KAMPO EMPLOYMENT AGENCY|kampo.agency@gmail.com
1895|KAMPO EMPLOYMENT AGENCY|kampo.agency@gmail.com

1397|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1398|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1399|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1400|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com

1651|VIVA EMPLOYMENT SERVICES LIMITED|vivaemployment@gmail.com
3630|VIVA EMPLOYMENT SERVICES LIMITED|vivaemployment@gmail.com

3577|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com
3489|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com

3584|HKBS|info@hongkong-bs.com
3585|e-Job|info@hongkong-bs.com

3585|e-Job|info@hongkong-bs.com
3584|HKBS|info@hongkong-bs.com

2587|FamilyMaid Employment Services Limited|info@familymaid.hk
2588|FamilyMaid Employment Services Limited|info@familymaid.hk

3412|SCENEWAY EMPLOYMENT PARADISE CO.|scenewayemployment@yahoo.com.hk
3206|CITY EMPLOYMENT PARADISE CO.|scenewayemployment@yahoo.com.hk

143|Pilipino Overseas Workers Club Limited|kkleung2005@gmail.com
1456|SUPER MAID LIMITED|kkleung2005@gmail.com
1745|Kakao Limited|kkleung2005@gmail.com

222|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
223|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
224|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk

322|Right Choice Overseas Employment Centre Limited|info@rightchoice.hk
321|Right Choice Overseas Employment Centre Limited|info@rightchoice.hk

536|LEADER EMPLOYMENT COMPANY LIMITED|info@leaderemployment.com.hk
537|LEADER EMPLOYMENT COMPANY LIMITED|info@leaderemployment.com.hk
538|LEADER EMPLOYMENT COMPANY LIMITED|info@leaderemployment.com.hk
539|LEADER EMPLOYMENT COMPANY LIMITED|info@leaderemployment.com.hk
540|LEADER EMPLOYMENT COMPANY LIMITED|info@leaderemployment.com.hk
541|LEADER EMPLOYMENT COMPANY LIMITED|info@leaderemployment.com.hk
542|LEADER EMPLOYMENT COMPANY LIMITED|info@leaderemployment.com.hk

3785|Megasea Employment Agency Limited|info@megasea.hk
291|Megasea Employment Agency Limited|info@megasea.hk
292|Megasea Employment Agency Limited|info@megasea.hk
293|Megasea Employment Agency Limited|info@megasea.hk
294|Megasea Employment Agency Limited|info@megasea.hk

3681|IN HEART EMPLOYMENT AGENCY LIMITED|info@inheartemployment.com
3299|IN HEART EMPLOYMENT AGENCY LIMITED|info@inheartemployment.com
3300|IN HEART EMPLOYMENT AGENCY LIMITED|info@inheartemployment.com

3458|SINCERE COMPANY|service@sia-sincere.com.hk
3455|SINCERE COMPANY|service@sia-sincere.com.hk
3456|SINCERE COMPANY|service@sia-sincere.com.hk
3457|SINCERE COMPANY|service@sia-sincere.com.hk

3489|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com
3577|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com

1882|HO MAN EMPLOYMENT AGENCY|barry@newtown.on-nets.com
521|New Town Employment Agency|barry@newtown.on-nets.com

1889|NAULI EMPLOYMENT AGENCY COMPANY LIMITED|liwing2903@gmail.com
1612|LI WING EMPLOYMENT CENTRE|liwing2903@gmail.com

1895|KAMPO EMPLOYMENT AGENCY|kampo.agency@gmail.com
1896|KAMPO EMPLOYMENT AGENCY|kampo.agency@gmail.com

1134|Many Maids Employment Agency|manymaids@gmail.com
1135|Many Maids Employment Agency|manymaids@gmail.com

1315|KAH KAH EMPLOYMENT|susanna@kahkah.com.hk
1314|KAH KAH EMPLOYMENT|susanna@kahkah.com.hk

1400|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1397|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1398|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1399|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com

1415|Perfect Maid Centre|info@perfectmaid.com.hk
1418|Perfect Maid Centre|info@perfectmaid.com.hk

1418|Perfect Maid Centre|info@perfectmaid.com.hk
1415|Perfect Maid Centre|info@perfectmaid.com.hk

1456|SUPER MAID LIMITED|kkleung2005@gmail.com
143|Pilipino Overseas Workers Club Limited|kkleung2005@gmail.com
1745|Kakao Limited|kkleung2005@gmail.com

1545|JL Employment Centre|jlemployment@outlook.com
