gov_id,english_name,chinese_name,address,district,latitude,longitude,email,telephone,fax,placement_type,valid_license_since
55|Extensive Employment Services Centre|宏寶僱傭服務中心|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3711144|lng: 114.0998887|extemployment@gmail.com|24929263|24929633|Foreign Domestic Helpers, Local Domestic Helpers|1991
69|Certain Link Personnel Consultants|確信人事僱傭中心|Room B, 17th floor, Unionway Commercial Centre, 283 Queen's Road Central, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2848559|lng: 114.1507399|brenda.yung7@gmail.com|28510230|25444773|Foreign Domestic Helpers, Local Domestic Helpers|1992
77|JN Employment Services|None|Flat A, 7th floor, Winner Building, 27-37 D'Aguilar Street, Central, Hong Kong|Central and Western District|lat: 22.2810534|lng: 114.1551871|jn@jnemployment.com|25301730|29730078|Foreign Domestic Helpers, Imported Worker, Office Staff / Executive Search, Other Non-office Worker|1993
122|Luckyflex International Limited|信富國際有限公司|Room 1603, 16th floor, Chow Sang Sang Building, 229 Nathan Road, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.3046440|lng: 114.1713625|luckyflexintl@gmail.com|27391230|23692727|Foreign Domestic Helpers, Office Staff / Executive Search|1994
126|HK-Philippines Employment Agency|中菲僱傭代理|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2844956|lng: 114.1554419|hkphil_employment@yahoo.com|28014083|25371522|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|1995
139|H L&C; Employment Agency Limited|康樂居僱傭中心有限公司|6th floor, Hong Kong Chinese Bank Causeway Bay Centre, 42-44 Yee Wo Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2795905|lng: 114.1857059|marketing@hlc.com.hk|28810004|28904000|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|1996
141|H L&C; Employment Agency Limited|康樂居僱傭中心有限公司|3rd floor, Heung Lam Building, 23 Connaught Road Central, Central, Hong Kong|Central and Western District|lat: 22.2832167|lng: 114.1573469|marketing@hlc.com.hk|28810004|28904000|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2002
215|Aura Employment Agency|奧娜僱傭公司|Flat B, 14th floor, Wayson Commercial House, 68-70 Lockhart Road, Wan Chai, Hong Kong|Wan Chai District|lat: 22.2779916|lng: 114.1710832|auragency@yahoo.com|25736462| |Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|1998
224|ASIA-ONE EMPLOYMENT AGENCY|尚亞僱傭服務中心|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3738049|lng: 114.1163548|admin@asiaone.hk|26927777|23685555|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2003
258|Asia Selective Employment Agency|亞洲精簡代聘中心(菲傭)|Room 1101, 11th floor, Jupiter Tower, 9 Jupiter Street, North Point, Hong Kong|Eastern District|lat: 22.2862334|lng: 114.1923384|donna821128@yahoo.com.hk|23912132|23922698|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|1999
286|J & A Employment Agency|保兒僱傭公司|Room B1, 6th floor, Chung Hing Commercial Building, 62-63 Connaught Road Central, Central, Hong Kong|Central and Western District|lat: 22.2853831|lng: 114.1556306|ja@ja-agency.com.hk|28698329|28698002|Foreign Domestic Helpers, Local Domestic Helpers|2000
307|Technic Employment Service Centre Limited|得成僱傭中心有限公司|Unit A, 8th floor, Man Hing Commercial Building, 79-83 Queen's Road Central, Central, Hong Kong|Central and Western District|lat: 22.2834380|lng: 114.1553941|central@technic.com.hk|25226162|28400492|Foreign Domestic Helpers|2002
311|Sincerity Employment Services Company|佳譽僱傭服務公司|Room 02B, 5th floor, Causeway Bay Commercial Building, 3 Sugar Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2799736|lng: 114.1864561|cb-info@sincerity.hk|26250776|21510991|Foreign Domestic Helpers, Local Domestic Helpers|2000
325|Talent Source Limited|智發有限公司|6th floor, Hong Kong Chinese Bank Causeway Bay Centre, 42-44 Yee Wo Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2795905|lng: 114.1857059|marketing@hlc.com.hk|28810004|28904000|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2000
351|Good Hope Employment Services|真意僱傭中心|Room 803, 8th floor, Cheung Fung Commercial Building, 21-25 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon|Sham Shui Po District|lat: 22.3270400|lng: 114.1666580|goodhopehk@yahoo.com.hk|29288222|23910781|Foreign Domestic Helpers, Local Domestic Helpers|2001
370|Cheer Lots Employment Services Limited|施樂僱傭服務有限公司|Room 1411, 14th floor, Good Hope Building, 5 Sai Yeung Choi Street South, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3173060|lng: 114.1701335|mongkokec@yahoo.com.hk|31187551|31623402|Foreign Domestic Helpers, Local Domestic Helpers|2001
396|Bestwell Employment Agency (HK) Limited|佳威僱傭中心有限公司|Room 1001, 10th floor, Kwong Wah Plaza, 11 Tai Tong Road, Yuen Long, New Territories|Yuen Long District|lat: 22.4440185|lng: 114.0294675|alrightsun@biznetvigator.com|24733488|25681662|Foreign Domestic Helpers, Local Domestic Helpers|2012
430|Best Choice Employment Center Company Limited|稱心如意僱傭中心有限公司|Office 2, 7th floor, United Success Commercial Centre, 508 Jaffe Road, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2809381|lng: 114.1833990|fancychau@bestmaids.com.hk|23305339|23305366|Foreign Domestic Helpers, Local Domestic Helpers|2002
475|All Round Employment Agency|安選專業僱傭中心|Room 1101, 11th floor, Jupiter Tower, 9 Jupiter Street, North Point, Hong Kong|Eastern District|lat: 22.2862334|lng: 114.1923384|donna821128@yahoo.com.hk|23919276|23922698|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|2002
478|Home-Maid Employment Services|家居易僱傭服務中心|Room 5A, 3rd floor, Sun Cheong Industrial Building, 1 Cheung Shun Street, Lai Chi Kok, Kowloon|Sham Shui Po District|lat: 22.3367625|lng: 114.1493820|info@homeasy.com|27762900|213993693|Foreign Domestic Helpers, Local Domestic Helpers|2002
534|Ko Li Family Employment Services Consultant|高利僱傭服務中心|Flat 9, 23rd floor, Prosper Commercial Building, 9 Yin Chong Street, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3166330|lng: 114.1721049|koliagency@yahoo.com.hk|56686691| |Foreign Domestic Helpers, Local Domestic Helpers|2003
566|Glory Semesta Manpower Limited|利得佳僱傭有限公司|Room 2008, 20th floor, Hing Yip Commercial Centre, 272-284 Des Voeux Road Central, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2865267|lng: 114.1514830|glorysemesta@biznetvigator.com|26886020|26886010|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2004
597|Abadi Employment Consultant Centre|威信(海外)僱傭中心|Room 1108, 1st floor, Inciti Kar Shing Building, 15-19 Kau Yuk Road, Yuen Long, New Territories|Yuen Long District|lat: 22.4427237|lng: 114.0272673|info@abadi.com.hk|31065716|31065717|Foreign Domestic Helpers, Local Domestic Helpers|2004
613|Maid Supply Employment Agency|None|Unit B3-C, Block B, 3rd floor, Hong Kong Industrial Centre, 489-491 Castle Peak Road, Lai Chi Kok, Kowloon|Sham Shui Po District|lat: 22.3374145|lng: 114.1467198|maidsupply123@yahoo.com.hk|23976007|23932096|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|2004
617|Yip Sing International Consultant Services Limited|業昇國際顧問服務有限公司|Shopstall D023, Lok Fu Bazaar, Lok Fu Plaza, 198 Junction Road, Wang Tau Hom, Kowloon|Wong Tai Sin District|lat: 22.3385753|lng: 114.1872659|yipsing88@yahoo.com|26812197|37479383|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2004
650|WINWIN EMPLOYMENT CENTRE LIMITED|百惠僱傭中心有限公司|Shop 29, Ground floor, Laguna Arcade, Phase 3, Laguna City, Cha Kwo Ling Road, Lam Tin, Kowloon|Kwun Tong District|lat: 22.3059739|lng: 114.2281260|winmaids@hotmail.com|27276788|27172283|Foreign Domestic Helpers, Local Domestic Helpers|2005
651|Olivine Recruitment Services Limited|寶翠僱傭服務有限公司|Shop 19, Ground floor, Bank Building, 259-269 Des Voeux Road West, Sai Ying Pun, Hong Kong|Central and Western District|lat: 22.2881526|lng: 114.1410092|olivinehk@yahoo.com.hk|28191069|28160031|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2005
662|Happy Maids Employment Centre Limited|誼景僱傭中心有限公司|Unit 203, 2nd floor, Sam Cheong Building, 216-220 Des Voeux Road Central, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2861257|lng: 114.1529229|happy@happy-maids.com.hk|25259886|25259979|Foreign Domestic Helpers, Local Domestic Helpers|2005
667|JOB'S ARE US COMPANY LIMITED|None|Shop 11A, Ground floor, 118 Connaught Road West, 118 Connaught Road West, Sai Ying Pun, Hong Kong|Central and Western District|lat: 22.2882441|lng: 114.1445856|jobr_rus@yahoo.com|28700567/65858905|28700568|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2005
754|Po Sing Employment Service Centre Limited|保誠僱傭中心有限公司|Shop I, Ground floor, Continental Mansion, 294 King's Road, North Point, Hong Kong|Eastern District|lat: 22.2900167|lng: 114.1956502|posingemployment@gmail.com|29293232|25663720|Foreign Domestic Helpers, Local Domestic Helpers|2005
801|HAPPY YO YO OVERSEA EMPLOYMENT AGENCY|樂瑤海外僱傭公司|Shop 1A7, Ground floor, Whampoa Estate, 99-109 Dock Street, Hung Hom, Kowloon|Kowloon City District|lat: 22.3062259|lng: 114.1869537|info@happyyoyo.com.hk|29945459|23030540|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2006
805|Convoy Employment Consultant Limited|盈安僱傭顧問有限公司|Room C, 1st floor, King Fung Building, 60-62 Kwong Fuk Road, Tai Po, New Territories|Tai Po District|lat: 22.4488453|lng: 114.1665300|convoyempl@gmail.com|26581319|30072233|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2006
1010|GOLDEN MOON EMPLOYMENT CO.|金滿僱傭公司|Shop 55, 1st floor, Hop Yick Commercial Centre, 33 Hop Choi Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4424569|lng: 114.0300934|goldenmoonco@ymail.com|24783322|34849683|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|2008
1140|MASS TRINITY INTERNATIONAL LIMITED|萬通國際有限公司|Room 706, 7th floor, Tung Ming Building, 40-42 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2831546|lng: 114.1566255|topservices.co@gmail.com|25257512|28681960|Foreign Domestic Helpers, Local Domestic Helpers|2009
1150|SOURCENET OVERSEAS EMPLOYMENT SERVICES (HONG KONG)|源網海外僱佣服務(香港)|Flat 603, 6th floor, Sunny House, 12-16 Li Yuen Street West, Central, Hong Kong|Central and Western District|lat: 22.2831074|lng: 114.1560430|sourcenethk@hotmail.com|34823443| |Foreign Domestic Helpers, Local Domestic Helpers|2009
1179|AMAHSEARCH LIMITED|搜傭有限公司|Room 1003-1004, 10th floor, Yat Fat Building, 44-46 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2832374|lng: 114.1565922|info@amahsearch.com|29150031|39091811|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2009
1228|AA Plus Employment Agency Company Limited|海晴僱傭代理有限公司|Shop 40, Ground floor, Block 10, City Garden Shopping Centre, 233 Electric Road, North Point, Hong Kong|Eastern District|lat: 22.2909785|lng: 114.1948386|evaaaplus@yahoo.com.hk|25031689|28062908|Foreign Domestic Helpers|2010
1252|Bright International Services Co.|碧圖國際僱傭公司|Shop UG46B, Upper Ground floor, Laguna Mall, 8 Laguna Verde Avenue, Hung Hom, Kowloon|Kowloon City District|lat: 22.3087640|lng: 114.1919900|thomaschan_bright@yahoo.com|23303360|23309205|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2010
1276|Andy & Master Human Resources Consultant Co. Limited|百事達僱傭中心有限公司|Room 702, 7th floor, Sunny House, 12-16 Li Yuen Street West, Central, Hong Kong|Central and Western District|lat: 22.2831074|lng: 114.1560430|inquiry@hkhousekeeper.com|24300045|35477949|Foreign Domestic Helpers|2010
1397|FURTHER CREATION EMPLOYMENT CENTRE|富達僱傭中心|Room 1709-10, 17th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong|Central and Western District|lat: 22.2826055|lng: 114.1556210|cs@furthercreation.com|25228071|28697900|Foreign Domestic Helpers, Local Domestic Helpers|2011
1398|FURTHER CREATION EMPLOYMENT CENTRE|富達僱傭中心|Flat A, 15th floor, Prosperous Commercial Building, 54 Jardine's Bazaar, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2793355|lng: 114.1858034|cs@furthercreation.com|25228071|28697900|Foreign Domestic Helpers, Local Domestic Helpers|2013
1420|Legend Gurkhas Services Limited|None|Unit 1, 17th floor, Justen Centre, 44-52 Wai Ching Street, Jordan, Kowloon|Yau Tsim Mong District|lat: 22.3069775|lng: 114.1676695|legendgurkhas@biznetvigator.com|25170500| |Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search, Other Non-office Worker|2011
1458|C.A.N.A. PLACEMENT SERVICES LIMITED|家傭僱請中心有限公司|Shop 88, Ground floor, Eastern Plaza, Koway Court, 111 Chai Wan Road, Chai Wan, Hong Kong|Eastern District|lat: 22.3964280|lng: 114.1094970|canaplacement88@yahoo.com|93751932|24207778|Foreign Domestic Helpers, Local Domestic Helpers|2011
1467|Joe Employment (Oversea) Agency Co|寶盈(海外)僱傭服務中心|Shop B27, 1st floor, Richly Plaza, Kingswood Villas, Tin Shui Wai, New Territories|Yuen Long District|lat: 22.4579826|lng: 113.9991517|joefong60887726@yahoo.com.hk|81086368|31549372|Foreign Domestic Helpers, Local Domestic Helpers|2011
1469|Best Wealth Consultant and Trading Co.|碧樺僱傭公司|Room 1106, 11th floor, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2878030|lng: 114.1489390|bwcagency@yahoo.com|34604138|30116033|Foreign Domestic Helpers, Local Domestic Helpers|2011
