govid|english_name|fax

139|H L&C; Employment Agency Limited|28904000
141|H L&C; Employment Agency Limited|28904000
325|Talent Source Limited|28904000

141|H L&C; Employment Agency Limited|28904000
139|H L&C; Employment Agency Limited|28904000
325|Talent Source Limited|28904000

224|ASIA-ONE EMPLOYMENT AGENCY|23685555
222|ASIA-ONE EMPLOYMENT AGENCY|23685555
223|ASIA-ONE EMPLOYMENT AGENCY|23685555

258|Asia Selective Employment Agency|23922698
475|All Round Employment Agency|23922698

325|Talent Source Limited|28904000
139|H L&C; Employment Agency Limited|28904000
141|H L&C; Employment Agency Limited|28904000

370|Cheer Lots Employment Services Limited|31623402
309|Excel Choice Employment Services Limited|31623402

475|All Round Employment Agency|23922698
258|Asia Selective Employment Agency|23922698

613|Maid Supply Employment Agency|23932096
2164|UNITED FAMILY EMPLOYMENT AGENCY|23932096

754|Po Sing Employment Service Centre Limited|25663720
3962|FULLY HUMAN RESOURCE AGENCY COMPANY|25663720

801|HAPPY YO YO OVERSEA EMPLOYMENT AGENCY|23030540
3343|KING'S ONE EMPLOYMENT AGENCY|23030540

1140|MASS TRINITY INTERNATIONAL LIMITED|28681960
14|Top Services and Company|28681960
1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|28681960

1397|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1398|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1399|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1400|FURTHER CREATION EMPLOYMENT CENTRE|28697900
3242|Kex Industrial Company|28697900
53|Finest International Limited|28697900
54|Finest International Limited|28697900
64|Superiority International Limited|28697900

1398|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1397|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1399|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1400|FURTHER CREATION EMPLOYMENT CENTRE|28697900
3242|Kex Industrial Company|28697900
53|Finest International Limited|28697900
54|Finest International Limited|28697900
64|Superiority International Limited|28697900

1471|ASIA EXPANSION LIMITED|30201825
876|VIEW RISE MAID SERVICE|30201825

1484|MADAM JOE PROFESSIONAL DOMESTIC SERVICES COMPANY|35202170
2194|Rising Sun Employment Agency|35202170

1608|Radiant Maid Agency Service Limited|27800050
3237|Radiant Maid Agency Service Limited|27800050

1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|28681960
1140|MASS TRINITY INTERNATIONAL LIMITED|28681960
14|Top Services and Company|28681960

2205|Ensemble Human Resources Co. Limited|21490779
3489|Ensemble Human Resources Co. Limited|21490779
3577|Ensemble Human Resources Co. Limited|21490779
4063|Ensemble Human Resources Co. Limited|21490779

2587|FamilyMaid Employment Services Limited|35868860
2588|FamilyMaid Employment Services Limited|35868860

2703|GREEN SELECT EMPLOYMENT SERVICES CO.|24898206
4087|Live-in Seedling Employment Service Co.|24898206

2896|HOME OF THE ELDERLY HUMAN RESOURCES CONSULTANTS|30138689
4051|EMINENT TALENTS|30138689

2929|Grand Excellent Intercontinental Recruitment Agency|23074936
3847|Grand Bee Trade Plus|23074936

3204|CITY EMPLOYMENT PARADISE CO.|22134468
3209|TSUEN WAN EMPLOYMENT PARADISE CO.|22134468

3403|Ansin Employment Services|28859080
2549|HELPER SEARCH TECHNOLOGIES LIMITED|28859080

3519|CORDIAL EMPLOYMENT AGENCY CO|23328803
1691|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328803

3577|Ensemble Human Resources Co. Limited|21490779
