govid|english_name|address

55|Extensive Employment Services Centre|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories
2129|Unlimited Source Co.|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories
3796|ZENTRALINK MAID CONSULTANT|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories
180|Elegant Employment Agency|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories
2641|SMILE LADY EMPLOYMENT AGENCY|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories

69|Certain Link Personnel Consultants|Room B, 17th floor, Unionway Commercial Centre, 283 Queen's Road Central, Sheung Wan, Hong Kong
576|Ming Tak Services Company|Room B, 17th floor, Unionway Commercial Centre, 283 Queen's Road Central, Sheung Wan, Hong Kong

122|Luckyflex International Limited|Room 1603, 16th floor, Chow Sang Sang Building, 229 Nathan Road, Tsim Sha Tsui, Kowloon
718|Goal Miles Overseas Employment Company|Room 1603, 16th floor, Chow Sang Sang Building, 229 Nathan Road, Tsim Sha Tsui, Kowloon

126|HK-Philippines Employment Agency|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong
1029|Tailormaid Consultants Company Limited|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong
359|Caring Employment Centre|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong
1920|TOP RESOURCES CONSULTANCY COMPANY|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong
3779|Arch Professional Services Limited|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong

215|Aura Employment Agency|Flat B, 14th floor, Wayson Commercial House, 68-70 Lockhart Road, Wan Chai, Hong Kong
184|Sharp Rich Investment Limited|Flat B, 14th floor, Wayson Commercial House, 68-70 Lockhart Road, Wan Chai, Hong Kong

224|ASIA-ONE EMPLOYMENT AGENCY|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
64|Superiority International Limited|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
345|Full Win Employment Agency|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
951|Care Ford Employment Agency|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
1061|Precious Legend Employment Centre|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
1399|FURTHER CREATION EMPLOYMENT CENTRE|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
927|SAINT HAPPY MAIDS AGENCY|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
1122|TSUEN SHING EMPLOYMENT AGENCY|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
3847|Grand Bee Trade Plus|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories

311|Sincerity Employment Services Company|Room 02B, 5th floor, Causeway Bay Commercial Building, 3 Sugar Street, Causeway Bay, Hong Kong
1759|AMARA EMPLOYMENT AGENCY|Room 02B, 5th floor, Causeway Bay Commercial Building, 3 Sugar Street, Causeway Bay, Hong Kong
1565|Job Leader Profession Consultant|Room 02B, 5th floor, Causeway Bay Commercial Building, 3 Sugar Street, Causeway Bay, Hong Kong

396|Bestwell Employment Agency (HK) Limited|Room 1001, 10th floor, Kwong Wah Plaza, 11 Tai Tong Road, Yuen Long, New Territories
2222|MANDA EMPLOYMENT LIMITED|Room 1001, 10th floor, Kwong Wah Plaza, 11 Tai Tong Road, Yuen Long, New Territories

430|Best Choice Employment Center Company Limited|Office 2, 7th floor, United Success Commercial Centre, 508 Jaffe Road, Causeway Bay, Hong Kong
