govid|english_name|flags

55|Extensive Employment Services Centre|similar agency address,similar money lender address
69|Certain Link Personnel Consultants|similar agency address
122|Luckyflex International Limited|exact agency address,similar agency address
126|HK-Philippines Employment Agency|similar agency address,similar money lender address
139|H L&C; Employment Agency Limited|exact agency address,similar agency telephone,similar agency fax,similar agency email
141|H L&C; Employment Agency Limited|exact agency address,similar agency telephone,similar agency fax,similar agency email
215|Aura Employment Agency|similar agency address
224|ASIA-ONE EMPLOYMENT AGENCY|similar agency address,similar agency fax,similar agency email
258|Asia Selective Employment Agency|exact agency address,similar agency fax,similar agency email
311|Sincerity Employment Services Company|similar agency address
325|Talent Source Limited|exact agency address,similar agency telephone,similar agency fax,similar agency email
370|Cheer Lots Employment Services Limited|exact agency address,similar agency fax
396|Bestwell Employment Agency (HK) Limited|similar agency address
430|Best Choice Employment Center Company Limited|similar agency address
475|All Round Employment Agency|exact agency address,similar agency fax,similar agency email
566|Glory Semesta Manpower Limited|similar agency address
613|Maid Supply Employment Agency|similar agency fax,similar money lender address
650|WINWIN EMPLOYMENT CENTRE LIMITED|exact agency address,similar agency address,similar money lender address
651|Olivine Recruitment Services Limited|similar agency address,similar money lender address
662|Happy Maids Employment Centre Limited|similar agency address
667|JOB'S ARE US COMPANY LIMITED|similar agency address
754|Po Sing Employment Service Centre Limited|exact agency address,similar agency address,similar agency fax
801|HAPPY YO YO OVERSEA EMPLOYMENT AGENCY|similar agency address,similar agency fax
805|Convoy Employment Consultant Limited|exact agency address,similar agency address
1010|GOLDEN MOON EMPLOYMENT CO.|similar agency address,similar money lender address
1140|MASS TRINITY INTERNATIONAL LIMITED|similar agency address,similar agency telephone,similar agency fax,similar agency email
1179|AMAHSEARCH LIMITED|similar agency address
1228|AA Plus Employment Agency Company Limited|similar agency address,similar money lender address
1397|FURTHER CREATION EMPLOYMENT CENTRE|similar agency address,similar agency telephone,similar agency fax,similar agency email
1398|FURTHER CREATION EMPLOYMENT CENTRE|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
1458|C.A.N.A. PLACEMENT SERVICES LIMITED|similar agency address
1467|Joe Employment (Oversea) Agency Co|similar agency address,similar money lender address
1469|Best Wealth Consultant and Trading Co.|exact agency address
1471|ASIA EXPANSION LIMITED|similar agency address,similar agency fax
1484|MADAM JOE PROFESSIONAL DOMESTIC SERVICES COMPANY|exact agency address,similar agency address,similar agency fax
1486|EAST ASIA BRIDGE CONSULT LIMITED|similar agency address
1608|Radiant Maid Agency Service Limited|similar agency telephone,similar agency fax
1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|similar agency telephone,similar agency fax,similar agency email
1683|Silver Ocean Manpower Services Company|similar money lender address
1687|MY SWEET HOME EMPLOYMENT AGENCY|similar agency address
1693|TY OVERSEAS EMPLOYMENT SERVICES|similar money lender address
