govid|english_name|address

55|Extensive Employment Services Centre|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories
5becc478ee88cc28a96b8379|R.S.(H.K.) COMPANY LIMITED|SHOP 201-2, 2/F, LIK SANG PLAZA, 269 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES

126|HK-Philippines Employment Agency|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong
5becc435ee88cc28a96b7c6e|INTREND EXCHANGE LIMITED|FLAT 1505A, 15/F, CHEONG K BUILDING, 84-86 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG

613|Maid Supply Employment Agency|Unit B3-C, Block B, 3rd floor, Hong Kong Industrial Centre, 489-491 Castle Peak Road, Lai Chi Kok, Kowloon
5becc4aaee88cc28a96b88ce|YAKI CHAMPION LIMITED TRADING AS Y.C.|ROOM A9, 3/F, BLOCK A, HONG KONG INDUSTRIAL CENTRE, 489-491 CASTLE PEAK ROAD, LAI CHI KOK, KOWLOON

650|WINWIN EMPLOYMENT CENTRE LIMITED|Shop 29, Ground floor, Laguna Arcade, Phase 3, Laguna City, Cha Kwo Ling Road, Lam Tin, Kowloon
5becc46bee88cc28a96b8215|ORIENT EXCHANGE COMPANY (HK) LIMITED|SHOP 15, G/F, BLOCK 32-38, LAGUNA ARCADE, 95 CHA KWO LING ROAD, LAM TIN, KOWLOON
5becc476ee88cc28a96b8349|PRIZESMART LIMITED|SHOP 27, G/F, BLOCK 32-38, LAGUNA ARCADE, LAGUNA CITY, 95 CHA KWO LING ROAD, KWUN TONG, KOWLOON

651|Olivine Recruitment Services Limited|Shop 19, Ground floor, Bank Building, 259-269 Des Voeux Road West, Sai Ying Pun, Hong Kong
5becc42eee88cc28a96b7ba4|HSD INVESTMENT MANAGEMENT (HK) CO., LIMITED|FRONT SHOP OF SHOP NO.6, G/F, KONG CHIAN TOWER, 351B DES VOEUX ROAD WEST, SAI YING PUN, HONG KONG
5becc466ee88cc28a96b817c|NETLINK TECHNOLOGY LIMITED|SHOP 39A2, G/F, KWAN YICK BLDG, PHASE 2, 343 DES VOEUX ROAD WEST, SAI YING PUN, HONG KONG

1010|GOLDEN MOON EMPLOYMENT CO.|Shop 55, 1st floor, Hop Yick Commercial Centre, 33 Hop Choi Street, Yuen Long, New Territories
5becc3f0ee88cc28a96b74b0|BNI REMITTANCE LIMITED|FLAT 104-105, 1/F, HOP YICK COMMERCIAL CENTRE, 33 HOP CHOI STREET, YUEN LONG, NEW TERRITORIES
5becc3f1ee88cc28a96b74eb|BRI REMITTANCE COMPANY LIMITED|SHOP 025, 1/F, HOP YICK COMM CTR, 33 HOP CHOI STREET, YUEN LONG, NEW TERRITORIES

1228|AA Plus Employment Agency Company Limited|Shop 40, Ground floor, Block 10, City Garden Shopping Centre, 233 Electric Road, North Point, Hong Kong
5becc46dee88cc28a96b824c|P2H (HONG KONG) PTE LIMITED|SHOP 83D &#38; E, G/F, BLOCK 13, CITY GARDEN SHOPPING CENTRE, 233 ELECTRIC ROAD, NORTH POINT, HONG KONG
5becc3fdee88cc28a96b7648|CHEUNG CHONG LIMITED TRADING AS CHEUNG CHONG MONEY EXCHANGE|SHOP 83D &#38; 83E, G/F, BLOCK 13, CITY GARDEN SHOPPING CENTRE, 233 ELECTRIC ROAD, NORTH POINT, HONG KONG
5becc45aee88cc28a96b8031|LUCKY MONEY HONG KONG LIMITED|FLAT 82B, G/F, BLOCK 13, CITY GARDEN SHOPPING CENTRE, 233 ELECTRIC ROAD, NORTH POINT, HONG KONG
5becc45dee88cc28a96b8099|MARIANO, CARLOS S. TRADING AS MILLENNIUM EXCHANGE AND REMITTANCE|SHOP 79A, G/F, BLOCK 13, CITY GARDEN SHOPPING ARCADE, 233 ELECTRIC ROAD, NORTH POINT, HONG KONG
5becc451ee88cc28a96b7f4b|LBC MABUHAY HONG KONG LIMITED|SHOP 69D&#38;E, 75A, G/F, BLOCK 13, CITY GARDEN SHOPPING ARCADE, 233 ELECTRIC ROAD, NORTH POINT, HONG KONG
5becc462ee88cc28a96b8111|MOHAMMAD, RIAZ TRADING AS FRANKI EXCHANGE CO|SHOP 71A, G/F, BLOCK 7-14, CITY GARDEN, 233 ELECTRIC ROAD, NORTH POINT, HONG KONG
