govid|english_name|telephone

100|H L&C; Employment Agency Limited|28810004
101|H L&C; Employment Agency Limited|28810004
247|Talent Source Limited|28810004

101|H L&C; Employment Agency Limited|28810004
100|H L&C; Employment Agency Limited|28810004
247|Talent Source Limited|28810004

247|Talent Source Limited|28810004
100|H L&C; Employment Agency Limited|28810004
101|H L&C; Employment Agency Limited|28810004

885|MASS TRINITY INTERNATIONAL LIMITED|25257512
12|Top Services and Company|25257512
1248|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512

1066|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1068|FURTHER CREATION EMPLOYMENT CENTRE|25228071
2166|Kex Industrial Company|25228071

1068|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1066|FURTHER CREATION EMPLOYMENT CENTRE|25228071
2166|Kex Industrial Company|25228071

1183|HOME FIRST EMPLOYMENT CENTRE|23031336
1184|HOME FIRST EMPLOYMENT CENTRE|23031336

1184|HOME FIRST EMPLOYMENT CENTRE|23031336
1183|HOME FIRST EMPLOYMENT CENTRE|23031336

1237|Radiant Maid Agency Service Limited|27800037
1238|Radiant Maid Agency Service Limited|27800037

1248|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512
12|Top Services and Company|25257512
885|MASS TRINITY INTERNATIONAL LIMITED|25257512

1628|Ensemble Human Resources Co. Limited|35909993
1629|Ensemble Human Resources Co. Limited|35909993
1630|Ensemble Human Resources Co. Limited|35909993
1631|Ensemble Human Resources Co. Limited|35909993

1629|Ensemble Human Resources Co. Limited|35909993
1628|Ensemble Human Resources Co. Limited|35909993
1630|Ensemble Human Resources Co. Limited|35909993
1631|Ensemble Human Resources Co. Limited|35909993

1825|HEARTFUL EMPLOYMENT SERVICES (HK) LIMITED|26823841
57|Beatrice Filipino Domestic Helpers|26823841

1836|FamilyMaid Employment Services Limited|35868811
3036|SEBASTIAN|35868811

1900|GREEN SELECT EMPLOYMENT SERVICES CO.|24898738
2743|Live-in Seedling Employment Service Co.|24898738

1911|TAKEME EMPLOYMENT AGENCY|62267749
1912|TAKEME EMPLOYMENT AGENCY|62267749

2150|CITY EMPLOYMENT PARADISE CO.|24680380
2153|TSUEN WAN EMPLOYMENT PARADISE CO.|24680380

2339|CORDIAL EMPLOYMENT AGENCY CO|23328850
1309|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328850

2408|Hong Kong Cambodian Human Resource Association|31517979
2409|Hong Kong Cambodian Labour and Vocational Training Centre|31517979

2409|Hong Kong Cambodian Labour and Vocational Training Centre|31517979
2408|Hong Kong Cambodian Human Resource Association|31517979

2516|GALILEE EMPLOYMENT SERVICE COMPANY|23313096
2517|GALILEE EMPLOYMENT SERVICE COMPANY|23313096

2517|GALILEE EMPLOYMENT SERVICE COMPANY|23313096
2516|GALILEE EMPLOYMENT SERVICE COMPANY|23313096

2781|R JOB LIMITED|35202145
2566|LT Domestic Helper Agency Limited|35202145

12|Top Services and Company|25257512
1248|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512
885|MASS TRINITY INTERNATIONAL LIMITED|25257512

34|Finest International Limited|23886182
1069|FURTHER CREATION EMPLOYMENT CENTRE|23886182

42|Superiority International Limited|24124829
1067|FURTHER CREATION EMPLOYMENT CENTRE|24124829

48|Great Top Employment Service Centre|25108399
157|Mabros Employment Agency|25108399

61|D.D. Domestic Services|25263331
150|KA WO CONSULTANTS LIMITED|25263331
328|Home De Fairy Consultants Limited|25263331

151|EMPLOYMENT WORLD|28912896
2996|LUCKY MAIDS JOB CENTRE|28912896

157|Mabros Employment Agency|25108399
48|Great Top Employment Service Centre|25108399

165|SACRED HEART INTERNATIONAL CONSULTANTS|28348886
225|Way Tech Consultants Company|28348886

182|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320
183|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320

183|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320
182|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320

198|Mrs. MA's Employment Services|26533603
199|Mrs. MA's Employment Services|26533603
277|Romy Employment Services|26533603

225|Way Tech Consultants Company|28348886
165|SACRED HEART INTERNATIONAL CONSULTANTS|28348886

228|Technic Employment Service Centre Limited|22334343
673|Cable Employment Service Limited|22334343

270|Caring Employment Centre|21519383
1456|TOP RESOURCES CONSULTANCY COMPANY|21519383

277|Romy Employment Services|26533603
198|Mrs. MA's Employment Services|26533603
199|Mrs. MA's Employment Services|26533603

328|Home De Fairy Consultants Limited|25263331
150|KA WO CONSULTANTS LIMITED|25263331
61|D.D. Domestic Services|25263331

356|Pessen Technology Limited|91234939
1297|MRS. HUI EMPLOYMENT AGENCY|91234939

401|The Searchers Human Resources Co.|23400648
323|Blue Sky Co.|23400648

422|LEADER EMPLOYMENT COMPANY LIMITED|26481918
423|LEADER EMPLOYMENT COMPANY LIMITED|26481918

423|LEADER EMPLOYMENT COMPANY LIMITED|26481918
422|LEADER EMPLOYMENT COMPANY LIMITED|26481918

431|Foreign Maid Employment Agency|31562334
1439|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|31562334

454|Jumbo International Maid Employment Agency|26688498
2232|SMOOTH MAID EMPLOYMENT AGENCY LIMITED|26688498

487|Great Possession Employment Agency|21178119
1049|Stone Employment Agency|21178119

534|Pawer Express International Company Limited|25783311
313|C. & K. ENTERPRISES COMPANY LIMITED|25783311

548|Hung Chau Company Limited|31023311
547|Hung Chau Company Limited|31023311

568|Kasa Maid Agency Limited|28187898
1334|Sa Sa Employment Agency|28187898

597|Arrow Employment Services|21511125
598|Arrow Employment Services|21511125

641|Pacific Garden Employment Agency|27812933
2619|BTI COURIER EXPRESS|27812933

645|A & E Employment Centre|27701198
660|AIE Employment Centre|27701198

646|A & E Employment Centre|31000151
