english_name,chinese_name,address
english_name,chinese_name,address
LIAU ERNY TRADING AS TOKO JAYA|廖雪蕊 營業名稱 長利|STALL 16, POK HONG ESTATE MARKET, SHA TIN, NEW TERRITORIES
LIDA (HONG KONG) FOREIGN EXCHANGE COMPANY LIMITED|立達(香港)貨幣兌換有限公司|ROOM 63 FLAT A, 11/F, MAI GAR IND BLDG, 146 WAI YIP ST, KWUN TONG, KOWLOON
LIKN GROUP LIMITED|None|SHOP S56, 2/F, COMMERCIAL PODIUM SINCERE HOUSE, 83 ARGYLE STREET, MONG KOK, KOWLOON
LILI HENNY TRADING AS WARUNG GAUL|李甜甜|SHOP 13A4, G/F, MEI FOO SUN CHUEN, 17D BROADWAY ST, LAI CHI KOK, KOWLOON
LIM CE SUAN TRADING AS CERIA|林芝璇 營業名稱 印尼店|SHOP 33C, 2/F, SUN YEE HOUSE, SUN CHUI ESTATE, SHA TIN, NEW TERRITORIES
LIM&#39;S MONEY EXCHANGE LIMITED|None|15/F, RADIO CITY, 505-511 HENNESSY ROAD, CAUSEWAY BAY, HONG KONG
LIMBU, PREM KUMAR TRADING AS TOKO ABADI|None|SHOP 2A, G/F, 2-8 ON FU ROAD, TAI PO, NEW TERRITORIES
LI CHU|李初 營業名稱 中盛找換行|SHOP 3A, G/F, FOO TAT BUILDING, 50 SOY STREET, MONG KOK, KOWLOON
LI CHUN LING|李春玲 營業名稱 彩源東南亞印尼雜貨|STALL NO. CM33, CHOI MING (ALLMART) MARKET, TSEUNG KWAN O, NEW TERRITORIES
LI CHUN NING TRADING AS MING FAI TELECOM|李俊寧 營業名稱 明輝電訊|SHOP A4A, G/F, MAN FAT BUILDING, 30 BELCHER&#39;S STREET, KENNEDY TOWN, HONG KONG
LI HUAQIN TRADING AS INDONESIA MAKANAN PASAR|李華琴 營業名稱 日日好印尼食品市場|G/F, 5 PO YICK ST, TAI PO, NEW TERRITORIES
LI JUN LIE TRADING AS LI JUN LIE|呂運麗 營業名稱 呂運麗|STALL 33, WING FONG STREET MARKET, KWAI CHUNG, NEW TERRITORIES
LI KA WO TRADING AS NAM YEUNG NATIVE FOOD|李家和 營業名稱 南洋土產食品|2050-2052, 2/F, YEUNG UK RD MARKET, YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES
LI KAM TUNG TRADING AS GOLDEN EXCHANGE SHOP|李金通 營業名稱 金通找換店|SHOP 51B-C, G/F, KING&#39;S PARKLANE, 288 KING&#39;S ROAD, NORTH POINT, HONG KONG
LI LAI SHING TRADING AS YICK SHING RMB|李來興 營業名稱 益成人民幣找換店|SHOP 213, LOK HIN TERRACE, 350 CHAI WAN ROAD, CHAI WAN, HONG KONG
LI SIU HA TRADING AS GOOD &#38; WELL TRADING COMPANY|李小霞 營業名稱 楓蘭貿易公司|SHOP B, G/F, 250 SAI YEUNG CHOI STREET, MONG KOK, KOWLOON
LI WEI INVESTMENT LIMITED|力維投資有限公司|FLAT 2310, 23/F, PROSPERITY CENTRE, 25 CHONG YIP STREET, KWUN TONG, KOWLOON
LI YANGHENG|李揚恒 營業名稱 鵬偉找換店|SHOP 8, G/F, BI JOU APARTMENTS, 157 PRINCE EDWARD ROAD WEST, MONG KOK, KOWLOON
LIAN HUI HOLDINGS LIMITED|聯匯實業有限公司|SHOP A70A, G/F, KWAI CHUNG PLAZA, 7-11 KWAI FOO ROAD, KWAI CHUNG, NEW TERRITORIES
LIANG HAU LING TRADING AS MURNI TOKO INDONESIA|梁巧玲 營業名稱 萬利印尼土產食品商店|G/F, 19 TAK LUNG FRONT STREET, SAI KUNG, NEW TERRITORIES
LIANLIAN INTERNATIONAL COMPANY LIMITED|連連國際支付有限公司|ROOM 1116-19, SUN HUNG KAI CENTRE, 30 HARBOUR ROAD, WAN CHAI, HONG KONG
LIAO CHENXIONG TRADING AS DI ZHONG RENMINBI EXCHANGE CO|廖陈雄 營業名稱 大眾人民幣找換店|PORTION OF SHOP, G/F, 3B WATERLOO ROAD, YAU MA TEI, KOWLOON
LEUNG FUNG HI TRADING AS FLYDER TRADING CO.|梁鳳喜 營業名稱 飛達行|SHOP 20, G/F, SHUI KING BUILDING, 140 WO YI HOP ROAD, KWAI CHUNG, NEW TERRITORIES
LEUNG KAM MING TRADING AS WARUNG BERKAH JOGJA|梁錦明|SHOP 64C1, P/F, MEI FOO SUN CHUEN, 15 GLEE PATH, LAI CHI KOK, KOWLOON
LEUNG KWAI FAN|梁桂芬 營業名稱 志興人民幣找換行|PORTION OF SHOP D (D2), G/F, KWOK WAH MANSION, 142-148 CASTLE PEAK ROAD, YUEN LONG, NEW TERRITORIES
LEUNG KWOK KIN TRADING AS YUEN FAT|梁國堅 營業名稱 源發糧食店|SHOP 102, G/F, TAI TAK HOUSE, TAI YUEN ESTATE, TAI PO, NEW TERRITORIES
LEUNG MEE LIN IRENE TRADING AS TREASURE LINK MONEY EXCHANGE COMPANY|梁美蓮 營業名稱 滙寶找換店|SHOP A, G/F, 8-12 FENWICK STREET, WAN CHAI, HONG KONG
LEUNG TO NUI TRADING AS PANDA COMPANY|梁桃女 營業名稱 八達公司|PORTION C OF SHOP E, G/F, LEE FUNG BUILDING, 88-96 ARGYLE STREET, MONG KOK, KOWLOON
LEUNG WAI HING TRADING AS SILVER EXCHANGE CO.|梁惠 營業名稱 銀通找換公司|SHOP A2, G/F, 366 PORTLAND STREET, MONG KOK, KOWLOON
LEUNG WAI KWAN TRADING AS YOUR SHOPPE|梁慧君 營業名稱 四海通訊|ROOM G, G/F, 5 TONG SHUI ROAD, NORTH POINT, HONG KONG
